date,tournament,patch,w_l,side,vs,bans,bans_vs,picks,picks_vs,players,ban1,ban2,ban3,ban4,ban5,ban_vs1,ban_vs2,ban_vs3,ban_vs4,ban_vs5,pick_top,pick_jg,pick_mid,pick_bot,pick_sup,pick_vs_top,pick_vs_jg,pick_vs_mid,pick_vs_bot,pick_vs_sup,player_top,player_jg,player_mid,player_bot,player_sup
,KR LCK 2022 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,KR LCK 2022 Spring,12.1,Loss,Blue,Liiv SANDBOX,"Diana,Caitlyn,Twisted Fate,LeBlanc,Viktor","Renekton,Lee Sin,Leona,Jayce,Akali","Graves,Viego,Ryze,Aphelios,Sona","Tryndamere,Xin Zhao,Syndra,Jhin,Yuumi","Kingen,Pyosik,Zeka,Deft,BeryL",Diana,Caitlyn,Twisted Fate,LeBlanc,Viktor,Renekton,Lee Sin,Leona,Jayce,Akali,Graves,Viego,Ryze,Aphelios,Sona,Tryndamere,Xin Zhao,Syndra,Jhin,Yuumi,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-12,KR LCK 2022 Spring,12.1,Loss,Blue,Liiv SANDBOX,"Diana,Caitlyn,Yuumi,Samira,Syndra","Renekton,Lee Sin,Twisted Fate,Viktor,LeBlanc","Graves,Jarvan IV,Ryze,Aphelios,Thresh","Tryndamere,Xin Zhao,Akali,Ezreal,Leona","Kingen,Pyosik,Zeka,Deft,BeryL",Diana,Caitlyn,Yuumi,Samira,Syndra,Renekton,Lee Sin,Twisted Fate,Viktor,LeBlanc,Graves,Jarvan IV,Ryze,Aphelios,Thresh,Tryndamere,Xin Zhao,Akali,Ezreal,Leona,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-14,KR LCK 2022 Spring,12.1,Loss,Red,Gen.G,"Tryndamere,Renekton,Yuumi,Jayce,Lissandra","Caitlyn,Twisted Fate,Karma,Akshan,Rakan","Gwen,Xin Zhao,LeBlanc,Aphelios,Nautilus","Graves,Lee Sin,Corki,Ziggs,Leona","Kingen,Pyosik,Zeka,Deft,BeryL",Tryndamere,Renekton,Yuumi,Jayce,Lissandra,Caitlyn,Twisted Fate,Karma,Akshan,Rakan,Gwen,Xin Zhao,LeBlanc,Aphelios,Nautilus,Graves,Lee Sin,Corki,Ziggs,Leona,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-14,KR LCK 2022 Spring,12.1,Loss,Blue,Gen.G,"Karma,Graves,Twisted Fate,Jarvan IV,Kennen","Yuumi,Renekton,Lee Sin,Akshan,Akali","Gragas,Xin Zhao,Viktor,Caitlyn,Lux","Tryndamere,Viego,Corki,Varus,Thresh","Kingen,Pyosik,Zeka,Deft,BeryL",Karma,Graves,Twisted Fate,Jarvan IV,Kennen,Yuumi,Renekton,Lee Sin,Akshan,Akali,Gragas,Xin Zhao,Viktor,Caitlyn,Lux,Tryndamere,Viego,Corki,Varus,Thresh,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-20,KR LCK 2022 Spring,12.1,Loss,Blue,T1,"Yuumi,Karma,Jarvan IV,Ziggs,Leona","Renekton,Twisted Fate,Caitlyn,Gragas,Thresh","Gwen,Xin Zhao,Corki,Aphelios,Rell","Camille,Diana,Tryndamere,Samira,Rakan","Kingen,Pyosik,Zeka,Deft,BeryL",Yuumi,Karma,Jarvan IV,Ziggs,Leona,Renekton,Twisted Fate,Caitlyn,Gragas,Thresh,Gwen,Xin Zhao,Corki,Aphelios,Rell,Camille,Diana,Tryndamere,Samira,Rakan,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-20,KR LCK 2022 Spring,12.1,Loss,Red,T1,"Karma,Yuumi,Twisted Fate,Thresh,Jhin","Graves,Caitlyn,Renekton,Rakan,Leona","Camille,Jarvan IV,Vex,Ziggs,Rell","Fiora,Viego,Corki,Aphelios,Gragas","Kingen,Pyosik,Zeka,Deft,BeryL",Karma,Yuumi,Twisted Fate,Thresh,Jhin,Graves,Caitlyn,Renekton,Rakan,Leona,Camille,Jarvan IV,Vex,Ziggs,Rell,Fiora,Viego,Corki,Aphelios,Gragas,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-23,KR LCK 2022 Spring,12.1,Win,Red,Kwangdong Freecs,"Caitlyn,Corki,Twisted Fate,Jinx,Varus","Diana,Yuumi,Karma,Thresh,LeBlanc","Gragas,Xin Zhao,Viktor,Aphelios,Rakan","Renekton,Nidalee,Orianna,Jhin,Leona","Kingen,Pyosik,Zeka,Deft,BeryL",Caitlyn,Corki,Twisted Fate,Jinx,Varus,Diana,Yuumi,Karma,Thresh,LeBlanc,Gragas,Xin Zhao,Viktor,Aphelios,Rakan,Renekton,Nidalee,Orianna,Jhin,Leona,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-23,KR LCK 2022 Spring,12.1,Win,Red,Kwangdong Freecs,"Caitlyn,Corki,Renekton,LeBlanc,Orianna","Diana,Twisted Fate,Yuumi,Xin Zhao,Camille","Gnar,Viego,Akali,Jinx,Thresh","Gragas,Jarvan IV,Viktor,Varus,Karma","Kingen,Pyosik,Zeka,Deft,BeryL",Caitlyn,Corki,Renekton,LeBlanc,Orianna,Diana,Twisted Fate,Yuumi,Xin Zhao,Camille,Gnar,Viego,Akali,Jinx,Thresh,Gragas,Jarvan IV,Viktor,Varus,Karma,Kingen,Pyosik,Zeka,Deft,BeryL
2022-01-26,KR LCK 2022 Spring,12.2,Win,Blue,Fredit BRION,"Xin Zhao,Karma,Renekton,Jinx,Rakan","Caitlyn,Twisted Fate,Corki,Gragas,Thresh","Gangplank,Poppy,Viktor,Aphelios,Nautilus","Akali,Lee Sin,Ryze,Xayah,Leona","Kingen,Pyosik,Zeka,Deft,BeryL",Xin Zhao,Karma,Renekton,Jinx,Rakan,Caitlyn,Twisted Fate,Corki,Gragas,Thresh,Gangplank,Poppy,Viktor,Aphelios,Nautilus,Akali,Lee Sin,Ryze,Xayah,Leona,Kingen,Pyosik,Zeka,Deft,BeryL
